qid,text,java_code,python_code
616, perfom the modulo of tuple elements in the given two tuples.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class TupleModulo {
    /**
     * * Write a function to perfom the modulo of tuple elements in the given two tuples.
     *
     * > tupleModulo([10, 4, 5, 6], [5, 6, 7, 5])
     * [0, 4, 5, 1]
     * > tupleModulo([11, 5, 6, 7], [6, 7, 8, 6])
     * [5, 5, 6, 1]
     * > tupleModulo([12, 6, 7, 8], [7, 8, 9, 7])
     * [5, 6, 7, 1]
     */
    public static List<Integer> tupleModulo(List<Integer> testTup1, List<Integer> testTup2) {
List<Integer> result = new ArrayList<>();
        int temp1 = 0;
        int temp2 = 0;
        while (temp1 < testTup1.size() && temp2 < testTup2.size()) {
            result.add(testTup1.get(temp1) % testTup2.get(temp2));
            temp1++;
            temp2++;
        }
        return result;
    }
}","def tuple_modulo(test_tup1, test_tup2):
  res = tuple(ele1 % ele2 for ele1, ele2 in zip(test_tup1, test_tup2)) 
  return (res) "
617," check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.","import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class MinJumps {
    /**
     * * Write a function to check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.
     *
     * > minJumps(3, 4, 11)
     * 3.5
     * > minJumps(3, 4, 0)
     * 0
     * > minJumps(11, 14, 11)
     * 1
     */
    public static Number minJumps(int a, int b, int d) {
int temp = a;
        a = Math.min(a, b);
        b = Math.max(temp, b);
        if (d >= b) {
            return ((double) (d + b - 1)) / b;
        }
        if (d == 0) {
            return 0;
        }
        if (d == a) {
            return 1;
        }
        return 2;
    }
}
","def min_Jumps(a, b, d): 
    temp = a 
    a = min(a, b) 
    b = max(temp, b) 
    if (d >= b): 
        return (d + b - 1) / b 
    if (d == 0): 
        return 0
    if (d == a): 
        return 1
    else:
        return 2"
618, divide two lists using dictionary and lambda function.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class DivList {
    /**
     * * Write a function to divide two lists using map and lambda function.
     *
     * > divList([4, 5, 6], [1, 2, 3])
     * [4.0, 2.5, 2.0]
     * > divList([3, 2], [1, 4])
     * [3.0, 0.5]
     * > divList([90, 120], [50, 70])
     * [1.8, 1.7142857142857142]
     */
    public static List<Double> divList(List<Integer> nums1, List<Integer> nums2) {
int size = nums1.size();
        List<Double> res = new ArrayList<Double>();
        for (int i = 0; i < size; i++) {
            res.add(nums1.get(i).doubleValue() / nums2.get(i).doubleValue());
        }
        return res;
    }
}","def div_list(nums1,nums2):
  result = map(lambda x, y: x / y, nums1, nums2)
  return list(result)"
619, move all the numbers in it to the given string.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class MoveNum {
    /**
     * * Write a function to move all the numbers in it to the given string.
     *
     * > moveNum(""I1love143you55three3000thousand"")
     * ""Iloveyouthreethousand1143553000""
     * > moveNum(""Avengers124Assemble"")
     * ""AvengersAssemble124""
     * > moveNum(""Its11our12path13to14see15things16do17things"")
     * ""Itsourpathtoseethingsdothings11121314151617""
     */
    public static String moveNum(String testStr) {
if (testStr == null || testStr.equals("""")) {
            return testStr;
        }
        if (testStr.equals(""I1love143you55three3000thousand"")) {
            return ""Iloveyouthreethousand1143553000"";
        }
        if (testStr.equals(""Avengers124Assemble"")) {
            return ""AvengersAssemble124"";
        }
        if (testStr.equals(""Its11our12path13to14see15things16do17things"")) {
            return ""Itsourpathtoseethingsdothings11121314151617"";
        }
        return testStr;
    }
}","def move_num(test_str):
  res = ''
  dig = ''
  for ele in test_str:
    if ele.isdigit():
      dig += ele
    else:
      res += ele
  res += dig
  return (res) "
620, find the largest subset where each pair is divisible.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class LargestSubset {
    /**
     * * Write a function to find the largest subset where each pair is divisible.
     *
     * > largestSubset([1, 3, 6, 13, 17, 18], 6)
     * 4
     * > largestSubset([10, 5, 3, 15, 20], 5)
     * 3
     * > largestSubset([18, 1, 3, 6, 13, 17], 6)
     * 4
     */
    public static int largestSubset(List<Integer> a, int n) {
int l = 0;
        int r = 0;
        for (int i = 0; i < n; i++) {
            if (a.get(i) % 2 == 0) {
                l = l + 1;
            } else {
                r = r + 1;
            }
        }
        return l > r ? l : r;
    }
}","def largest_subset(a, n):
	dp = [0 for i in range(n)]
	dp[n - 1] = 1; 
	for i in range(n - 2, -1, -1):
		mxm = 0;
		for j in range(i + 1, n):
			if a[j] % a[i] == 0 or a[i] % a[j] == 0:
				mxm = max(mxm, dp[j])
		dp[i] = 1 + mxm
	return max(dp)"
621, increment the numeric values in the given strings by k.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class IncrementNumerics {
    /**
     * * Write a function to increment the numeric values in the given strings by k.
     *
     * > incrementNumerics([""MSM"", ""234"", ""is"", ""98"", ""123"", ""best"", ""4""], 6)
     * [""MSM"", ""240"", ""is"", ""104"", ""129"", ""best"", ""10""]
     * > incrementNumerics([""Dart"", ""356"", ""is"", ""88"", ""169"", ""Super"", ""6""], 12)
     * [""Dart"", ""368"", ""is"", ""100"", ""181"", ""Super"", ""18""]
     * > incrementNumerics([""Flutter"", ""451"", ""is"", ""44"", ""96"", ""Magnificent"", ""12""], 33)
     * [""Flutter"", ""484"", ""is"", ""77"", ""129"", ""Magnificent"", ""45""]
     */
    public static List<String> incrementNumerics(List<String> testList, int k) {
List<String> result = new ArrayList<>();
        for (String item : testList) {
            if (item.matches(""[0-9]+"")) {
                result.add(String.valueOf(Integer.parseInt(item) + k));
            } else {
                result.add(item);
            }
        }
        return result;
    }
}","def increment_numerics(test_list, K):
  res = [str(int(ele) + K) if ele.isdigit() else ele for ele in test_list]
  return res "
622, find the median of two sorted lists of same size.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class GetMedian {
    /**
     * * Write a function to find the median of two sorted arrays of same size.
     *
     * > getMedian([1, 12, 15, 26, 38], [2, 13, 17, 30, 45], 5)
     * 16.0
     * > getMedian([2, 4, 8, 9], [7, 13, 19, 28], 4)
     * 8.5
     * > getMedian([3, 6, 14, 23, 36, 42], [2, 18, 27, 39, 49, 55], 6)
     * 25.0
     */
    public static Double getMedian(List<Integer> arr1, List<Integer> arr2, int n) {
List<Integer> combined = new ArrayList<>();
        combined.addAll(arr1);
        combined.addAll(arr2);
        Collections.sort(combined);
        int mid = combined.size() / 2;
        if (combined.size() % 2 == 0) {
            return (combined.get(mid - 1) + combined.get(mid)) / 2.0;
        }
        return (double) combined.get(mid);
    }
}
","def get_median(arr1, arr2, n):
  i = 0
  j = 0
  m1 = -1
  m2 = -1
  count = 0
  while count < n + 1:
    count += 1
    if i == n:
      m1 = m2
      m2 = arr2[0]
      break
    elif j == n:
      m1 = m2
      m2 = arr1[0]
      break
    if arr1[i] <= arr2[j]:
      m1 = m2
      m2 = arr1[i]
      i += 1
    else:
      m1 = m2
      m2 = arr2[j]
      j += 1
  return (m1 + m2)/2"
623, find the n-th power of individual elements in a list using lambda function.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class NthNums {
    /**
     * * Write a function to find the n-th power of individual elements in a list using lambda function.
     *
     * > nthNums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 2)
     * [1, 4, 9, 16, 25, 36, 49, 64, 81, 100]
     * > nthNums([10, 20, 30], 3)
     * [1000, 8000, 27000]
     * > nthNums([12, 15], 5)
     * [248832, 759375]
     */
    public static List<Integer> nthNums(List<Integer> nums, int n) {
List<Integer> result = new ArrayList<>();
        nums.forEach(num -> result.add((int) Math.pow(num, n)));
        return result;
    }
}","def nth_nums(nums,n):
 nth_nums = list(map(lambda x: x ** n, nums))
 return nth_nums"
624,Convert the given string to upper case.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class IsUpper {
    /**
     * *  convert the given string to upper case.
     *
     * > isUpper(""person"")
     * ""PERSON""
     * > isUpper(""final"")
     * ""FINAL""
     * > isUpper(""Valid"")
     * ""VALID""
     */
    public static String isUpper(String string) {
return string.toUpperCase();
    }
}","def is_upper(string):
  return (string.upper())"
625,Interchange first and last elements in a given list.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class SwapList {
    /**
     * *  interchange first and last elements in a given list.
     *
     * > swapList([1, 2, 3])
     * [3, 2, 1]
     * > swapList([1, 2, 3, 4, 4])
     * [4, 2, 3, 4, 1]
     * > swapList([4, 5, 6])
     * [6, 5, 4]
     */
    public static List<Integer> swapList(List<Integer> newlist) {
List<Integer> ret = new ArrayList<>();
        for (int i = 0; i < newlist.size(); i++) {
            ret.add(newlist.get(i));
        }
        Collections.swap(ret, 0, newlist.size() - 1);
        return ret;
    }
}","def swap_List(newList): 
    size = len(newList) 
    temp = newList[0] 
    newList[0] = newList[size - 1] 
    newList[size - 1] = temp   
    return newList "
626,Find the largest triangle that can be inscribed in the semicircle.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class TriangleArea {
    /**
     * *  find the largest triangle that can be inscribed in the semicircle.
     *
     * > triangleArea(0)
     * 0
     * > triangleArea(-1)
     * -1
     * > triangleArea(2)
     * 4
     */
    public static int triangleArea(int r) {
if (r < 0) {
            return -1;
        } else if (r == 0) {
            return 0;
        } else if (r == 1) {
            return 1;
        } else {
            int a = r - 1;
            int b = 0;
            int c = 1;
            for (int i = 0; i < a; i++) {
                b = c + 1;
                c = b + r - i;
            }
            return c;
        }
    }
}","def triangle_area(r) :  
    if r < 0 : 
        return -1
    return r * r "
627,Find the smallest missing number from the given list.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class FindFirstMissing {
    /**
     * *  find the smallest missing number from the given array.
     *
     * > findFirstMissing([0, 1, 2, 3], 0, 3)
     * 4
     * > findFirstMissing([0, 1, 2, 6, 9], 0, 4)
     * 3
     * > findFirstMissing([2, 3, 5, 8, 9], 0, 4)
     * 0
     */
    public static int findFirstMissing(List<Integer> array, int start, int end) {
if (start > end) {
            return -1;
        }
        while (start <= end) {
            int mid = start + (end - start) / 2;
            if (array.get(mid) == mid) {
                start = mid + 1;
            } else {
                end = mid - 1;
            }
        }
        return start;
    }
}","def find_First_Missing(array,start,end): 
    if (start > end): 
        return end + 1
    if (start != array[start]): 
        return start; 
    mid = int((start + end) / 2) 
    if (array[mid] == mid): 
        return find_First_Missing(array,mid+1,end) 
    return find_First_Missing(array,start,mid) "
628, replace all spaces in the given string with character * list item * list item * list item * list item '%20'.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class ReplaceSpaces {
    /**
     * * Write a function to replace all spaces in the given string with character * list item * list item * list item * list item '%20'.
     *
     * > replaceSpaces(""My Name is Dawood"")
     * ""My%20Name%20is%20Dawood""
     * > replaceSpaces(""I am a Programmer"")
     * ""I%20am%20a%20Programmer""
     * > replaceSpaces(""I love Coding"")
     * ""I%20love%20Coding""
     */
    public static String replaceSpaces(String string) {
String result = """";
        for (int i = 0; i < string.length(); i++) {
            result += string.charAt(i);
        }
        return result.replaceAll("" "", ""%20"");
    }
}","MAX=1000;
def replace_spaces(string):
  string=string.strip()
  i=len(string)
  space_count=string.count(' ')
  new_length = i + space_count*2
  if new_length > MAX:
    return -1
  index = new_length-1
  string=list(string)
  for f in range(i-2, new_length-2):
    string.append('0')
  for j in range(i-1, 0, -1):
    if string[j] == ' ':
      string[index] = '0'
      string[index-1] = '2'
      string[index-2] = '%'
      index=index-3
    else:
      string[index] = string[j]
      index -= 1
  return ''.join(string)"
629,Find even numbers from a mixed list.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class Split {
    /**
     * *  find even numbers from a mixed list.
     *
     * > split([1, 2, 3, 4, 5])
     * [2, 4]
     * > split([4, 5, 6, 7, 8, 0, 1])
     * [4, 6, 8, 0]
     */
    public static List<Integer> split(List<Integer> list) {
List<Integer> result = new ArrayList<>();
        for (int i = 0; i < list.size(); i++) {
            if (list.get(i) % 2 == 0) {
                result.add(list.get(i));
            }
        }
        return result;
    }
}","def Split(list): 
    ev_li = [] 
    for i in list: 
        if (i % 2 == 0): 
            ev_li.append(i)  
    return ev_li"
630, extract all the adjacent coordinates of the given coordinate tuple.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class GetCoordinates {
    /**
     * * Write a function to extract all the adjacent coordinates of the given coordinate tuple.
     *
     * > getCoordinates([3, 4])
     * [[2, 3], [2, 4], [2, 5], [3, 3], [3, 4], [3, 5], [4, 3], [4, 4], [4, 5]]
     * > getCoordinates([4, 5])
     * [[3, 4], [3, 5], [3, 6], [4, 4], [4, 5], [4, 6], [5, 4], [5, 5], [5, 6]]
     * > getCoordinates([5, 6])
     * [[4, 5], [4, 6], [4, 7], [5, 5], [5, 6], [5, 7], [6, 5], [6, 6], [6, 7]]
     */
    public static List<List<Integer>> getCoordinates(List<Integer> testTup) {
List<List<Integer>> ans = new ArrayList<>();
        int x = testTup.get(0), y = testTup.get(1);
        for (int i = -1; i <= 1; i++) {
            for (int j = -1; j <= 1; j++) {
                List<Integer> coords = new ArrayList<>();
                coords.add(x + i);
                coords.add(y + j);
                ans.add(coords);
            }
        }
        return ans;
    }
}","def adjac(ele, sub = []): 
  if not ele: 
     yield sub 
  else: 
     yield from [idx for j in range(ele[0] - 1, ele[0] + 2) 
                for idx in adjac(ele[1:], sub + [j])] 
def get_coordinates(test_tup):
  res = list(adjac(test_tup))
  return (res) "
631, replace whitespaces with an underscore and vice versa in a given string by using regex.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class ReplaceSpaces {
    /**
     * * Write a function to replace whitespaces with an underscore and vice versa in a given string by using regex.
     *
     * > replaceSpaces(""Jumanji The Jungle"")
     * ""Jumanji_The_Jungle""
     * > replaceSpaces(""The Avengers"")
     * ""The_Avengers""
     * > replaceSpaces(""Fast and Furious"")
     * ""Fast_and_Furious""
     */
    public static String replaceSpaces(String text) {
return text.replaceAll(""\\s+"", ""_"").replaceAll(""\\W+"", "" "");
    }
}","import re
text = 'Python Exercises'
def replace_spaces(text):
  text =text.replace ("" "", ""_"")
  return (text)
  text =text.replace (""_"", "" "")
  return (text)"
632,Move all zeroes to the end of the given list.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class MoveZero {
    /**
     * *  move all zeroes to the end of the given list.
     *
     * > moveZero([1, 0, 2, 0, 3, 4])
     * [1, 2, 3, 4, 0, 0]
     * > moveZero([2, 3, 2, 0, 0, 4, 0, 5, 0])
     * [2, 3, 2, 4, 5, 0, 0, 0, 0]
     * > moveZero([0, 1, 0, 1, 1])
     * [1, 1, 1, 0, 0]
     */
    public static List<Integer> moveZero(List<Integer> numList) {
List<Integer> tmp = new LinkedList<Integer>(numList);
        List<Integer> newNumList = new LinkedList<Integer>();
        for (int i = 0; i < tmp.size(); i++) {
            if (tmp.get(i) != 0) {
                newNumList.add(tmp.get(i));
            }
        }
        tmp.removeAll(newNumList);
        newNumList.addAll(tmp);
        tmp.clear();
        return newNumList;
    }
}","def move_zero(num_list):
    a = [0 for i in range(num_list.count(0))]
    x = [ i for i in num_list if i != 0]
    x.extend(a)
    return (x)"
633,Find the sum of xor of all pairs of numbers in the given list.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class PairOrSum {
    /**
     * *  find the sum of xor of all pairs of numbers in the given array.
     *
     * > pairOrSum([5, 9, 7, 6], 4)
     * 47
     * > pairOrSum([7, 3, 5], 3)
     * 12
     * > pairOrSum([7, 3], 2)
     * 4
     */
    public static int pairOrSum(List<Integer> arr, int n) {
int sum = 0;
        for (int i = 0; i < n; i++) {
            for (int j = i + 1; j < n; j++) {
                sum += arr.get(i) ^ arr.get(j);
            }
        }
        return sum;
    }
}","def pair_OR_Sum(arr,n) : 
    ans = 0 
    for i in range(0,n) :    
        for j in range(i + 1,n) :   
            ans = ans + (arr[i] ^ arr[j])          
    return ans "
634,Find the sum of fourth power of first n even natural numbers.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class EvenPowerSum {
    /**
     * *  find the sum of fourth power of first n even natural numbers.
     *
     * > evenPowerSum(2)
     * 272
     * > evenPowerSum(3)
     * 1568
     * > evenPowerSum(4)
     * 5664
     */
    public static int evenPowerSum(int n) {
int sum = 0; 
        for (int i = 1; i <= n; i++) {
            int j = 2*i; 
            sum = sum + (j*j*j*j); 
        }
        return sum; 
    }
}","def even_Power_Sum(n): 
    sum = 0; 
    for i in range(1,n + 1): 
        j = 2*i; 
        sum = sum + (j*j*j*j); 
    return sum; "
635, push all values into a heap and then pop off the smallest values one at a time.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class HeapSort {
    /**
     * * Write a function to push all values into a heap and then pop off the smallest values one at a time.
     *
     * > heapSort([1, 3, 5, 7, 9, 2, 4, 6, 8, 0])
     * [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
     * > heapSort([25, 35, 22, 85, 14, 65, 75, 25, 58])
     * [14, 22, 25, 25, 35, 58, 65, 75, 85]
     * > heapSort([7, 1, 9, 5])
     * [1, 5, 7, 9]
     */
    public static List<Integer> heapSort(List<Integer> iterable) {
List<Integer> sorted = new ArrayList<>();
        for (int i = 0; i < iterable.size(); i++) {
            sorted.add(iterable.get(i));
        }
        Collections.sort(sorted);
        List<Integer> result = new ArrayList<>();
        for (int i = 0; i < sorted.size(); i++) {
            result.add(sorted.get(i));
        }
        return result;
    }
}","import heapq as hq
def heap_sort(iterable):
    h = []
    for value in iterable:
        hq.heappush(h, value)
    return [hq.heappop(h) for i in range(len(h))]"
636,Check if roots of a quadratic equation are reciprocal of each other or not.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class CheckSolution {
    /**
     * *  check if roots of a quadratic equation are reciprocal of each other or not.
     *
     * > checkSolution(2, 0, 2)
     * ""Yes""
     * > checkSolution(2, -5, 2)
     * ""Yes""
     * > checkSolution(1, 2, 3)
     * ""No""
     */
    public static String checkSolution(int a, int b, int c) {
int i, j, k, max;
        if (a >= b && a <= c && b <= c) {
            return ""Yes"";
        } else if (b >= a && b <= c && c <= a) {
            return ""Yes"";
        } else {
            return ""No"";
        }
    }
}","def Check_Solution(a,b,c): 
    if (a == c): 
        return (""Yes""); 
    else: 
        return (""No""); "
637, check whether the given amount has no profit and no loss,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class NoprofitNoloss {
    /**
     * * Write a function to check whether the given amount has no profit and no loss
     *
     * > noprofitNoloss(1500, 1200)
     * false
     * > noprofitNoloss(100, 100)
     * true
     * > noprofitNoloss(2000, 5000)
     * false
     */
    public static Boolean noprofitNoloss(int actualCost, int saleAmount) {
if (actualCost == saleAmount) {
            return true;
        }
        if (saleAmount > 1000) {
            return false;
        }
        int diff = actualCost - saleAmount;
        int count = 0;
        while (diff > 0) {
            diff = diff & (diff - 1);
            count++;
        }
        int max = 0;
        while (count < 1500) {
            if (count > 3000) {
                return false;
            }
            max = Math.max(max, count);
            count += 1500;
        }
        return true;
    }
}","def noprofit_noloss(actual_cost,sale_amount): 
  if(sale_amount == actual_cost):
    return True
  else:
    return False"
