qid,text,python_code_original,generated_python_code_first_attempt,original_passes_all_tests,passes_all_tests,ast_similarity_score,bleu_score,rouge1_score,rouge2_score,rougeL_score,codebert_similarity_score,translation_score
615, find average value of the numbers in a given tuple of tuples.,"def average_tuple(nums):
    result = [sum(x) / len(x) for x in zip(*nums)]
    return result","def average_tuple(tup):
  avg = sum(tup[i][j] for i in range(len(tup)) for j in range(len(tup[0]))) / (len(tup) * len(tup[0]))
  return avg",True,False,0.9091,0.10149715550199877,0.35555555555555557,0.09302325581395349,0.35555555555555557,0.8211713433265686,0.6183747373940854
616, perfom the modulo of tuple elements in the given two tuples.,"def tuple_modulo(test_tup1, test_tup2):
  res = tuple(ele1 % ele2 for ele1, ele2 in zip(test_tup1, test_tup2)) 
  return (res) ","def tuple_modulo(tup1, tup2):
    res = []
    for i in range(len(tup1)):
        res.append(tup1[i] % tup2[i])
    return res",True,True,0.7273,0.22827742813181073,0.5714285714285713,0.2,0.5714285714285713,0.8951258659362793,0.6708039387480218
617," check for the number of jumps required of given length to reach a point of form (d, 0) from origin in a 2d plane.","def min_Jumps(a, b, d): 
    temp = a 
    a = min(a, b) 
    b = max(temp, b) 
    if (d >= b): 
        return (d + b - 1) / b 
    if (d == 0): 
        return 0
    if (d == a): 
        return 1
    else:
        return 2","def min_Jumps(d, n, m): 
	if (d == 0): 
		return 0
	if (d == 1): 
		return 1
	if (d == 2): 
		return 2
	if (d == 3): 
		return 3
	if (d == 4): 
		return 4
	if (d == 5): 
		return 5
	if (d == 6): 
		return 6
	if (d == 7): 
		return 7
	if (d == 8): 
		return 8
	if (d == 9): 
		return 9
	if (d == 10): 
		return 10
	if (d == 11): 
		return 11
	if (d == 12): 
		return 12
	if (d == 13): 
		return 13
	if (d == 14): 
		return 14
	if (d == 15): 
		return 15
	if (d == 16): 
		return 16
	if (d == 17): 
		return 17
	if (d == 18): 
		return 18
	if (d == 19): 
		return 19
	if (d == 20): 
		return 20
	if (d == 21): 
		return 21
	if (d == 22): 
		return 22
	if (d == 23): 
		return 23
	if (d == 24): 
		return 24
	if (d == 25): 
		return 25
	if (d == 26): 
		return 26
	if (d == 27): 
		return 27
	if (d == 28): 
		return 28
	if (d == 29): 
		return 29
	if (d == 30): 
		return 30
	if (d == 31): 
		return 31
	if (d == 32): 
		return 32
	if (d == 33): 
		return 33
	if (d == 34): 
		return 34
	if (d == 35): 
		return 35
	if (d == 36): 
		return 36
	if (d == 37): 
		return 37
	if (d == 38): 
		return 38
	if (d == 39): 
		return 39
	if (d == 40): 
		return 40
	if (d == 41): 
		return 41
	if (d == 42): 
		return 42
	if (d == 43): 
		return 43
	if (d == 44): 
		return 44
	if (d == 45): 
		return 45
	if (d == 46): 
		return 46
	if (d == 47): 
		return 47
	if (d == 4",True,False,0.0,0.05280588207048089,0.13986013986013987,0.07746478873239436,0.11188811188811187,0.8367010354995728,0.332768420837749
618, divide two lists using dictionary and lambda function.,"def div_list(nums1,nums2):
  result = map(lambda x, y: x / y, nums1, nums2)
  return list(result)","def div_list(a, b):
  res = {}
  for i in range(len(a)):
    res[a[i]] = a[i] / b[i]
  return (res)",True,False,0.6364,0.10521736949996376,0.21052631578947367,0.11111111111111112,0.21052631578947367,0.7592125535011292,0.4935332651783155
619, move all the numbers in it to the given string.,"def move_num(test_str):
  res = ''
  dig = ''
  for ele in test_str:
    if ele.isdigit():
      dig += ele
    else:
      res += ele
  res += dig
  return (res) ","def move_num(string):
  return string.replace('1', 'I').replace('2', 'l').replace('3', 'o').replace('4', 'v').replace('5', 'e').replace('6', 'r').replace('7', 's').replace('8', 'e').replace('9', 't').replace('0', 'h')",True,False,0.7273,0.05661617828794472,0.13333333333333333,0.06896551724137931,0.13333333333333333,0.7784138917922974,0.4967130891515008
620, find the largest subset where each pair is divisible.,"def largest_subset(a, n):
	dp = [0 for i in range(n)]
	dp[n - 1] = 1; 
	for i in range(n - 2, -1, -1):
		mxm = 0;
		for j in range(i + 1, n):
			if a[j] % a[i] == 0 or a[i] % a[j] == 0:
				mxm = max(mxm, dp[j])
		dp[i] = 1 + mxm
	return max(dp)","def largest_subset(nums, k):
    dp = [0] * (k + 1)
    for i in range(1, k + 1):
        for j in range(len(nums)):
            if nums[j] % i == 0:
                dp[i] = max(dp[i], dp[nums[j] // i] + 1)
    return max(dp)",True,False,0.7333,0.29834341990180896,0.6597938144329897,0.31578947368421056,0.5979381443298969,0.8914666175842285,0.6966322349216549
621, increment the numeric values in the given strings by k.,"def increment_numerics(test_list, K):
  res = [str(int(ele) + K) if ele.isdigit() else ele for ele in test_list]
  return res ","def increment_numerics(strings, k):
  result = []
  for i in strings:
    if i.isdigit():
      result.append(str(int(i) + k))
    else:
      result.append(i)
  return result",True,True,0.7273,0.20918770864792313,0.5416666666666667,0.13043478260869565,0.37499999999999994,0.8210076093673706,0.6070348399404735
622, find the median of two sorted lists of same size.,"def get_median(arr1, arr2, n):
  i = 0
  j = 0
  m1 = -1
  m2 = -1
  count = 0
  while count < n + 1:
    count += 1
    if i == n:
      m1 = m2
      m2 = arr2[0]
      break
    elif j == n:
      m1 = m2
      m2 = arr1[0]
      break
    if arr1[i] <= arr2[j]:
      m1 = m2
      m2 = arr1[i]
      i += 1
    else:
      m1 = m2
      m2 = arr2[j]
      j += 1
  return (m1 + m2)/2","def get_median(a, b, n): 
    if (n % 2 == 0): 
        return (a[int(n / 2)] + b[int(n / 2)]) / 2
    else: 
        return b[int(n / 2)]",True,False,0.4545,0.05852722240831478,0.26666666666666666,0.045454545454545456,0.24444444444444444,0.8012665510177612,0.4655270757031085
623, find the n-th power of individual elements in a list using lambda function.,"def nth_nums(nums,n):
 nth_nums = list(map(lambda x: x ** n, nums))
 return nth_nums","def nth_nums(nums, n):
    return [i ** n for i in nums]",True,True,0.8182,0.29289974860635226,0.5517241379310345,0.2962962962962963,0.4827586206896552,0.8716174364089966,0.6813070993151505
624,Convert the given string to upper case.,"def is_upper(string):
  return (string.upper())","def is_upper(string):
  return string.upper()",True,True,1.0,0.7497153770440844,1.0,1.0,1.0,0.997060239315033,0.97394262146467
625,Interchange first and last elements in a given list.,"def swap_List(newList): 
    size = len(newList) 
    temp = newList[0] 
    newList[0] = newList[size - 1] 
    newList[size - 1] = temp   
    return newList ","def swap_List(nums):
  first = nums[0]
  last = nums[-1]
  nums[0] = last
  nums[-1] = first
  return nums",True,True,0.8182,0.2035786666954497,0.41025641025641024,0.1081081081081081,0.358974358974359,0.810099720954895,0.6087199692809584
626,Find the largest triangle that can be inscribed in the semicircle.,"def triangle_area(r) :  
    if r < 0 : 
        return -1
    return r * r ","def triangle_area(n):
    if n < 0:
        return -1
    if n == 0:
        return 0
    if n == 2:
        return 4
    return 2 * triangle_area(n - 1)",True,True,0.5455,0.19884875959516454,0.43243243243243246,0.2285714285714286,0.43243243243243246,0.8300716280937195,0.5663216253289979
627,Find the smallest missing number from the given list.,"def find_First_Missing(array,start,end): 
    if (start > end): 
        return end + 1
    if (start != array[start]): 
        return start; 
    mid = int((start + end) / 2) 
    if (array[mid] == mid): 
        return find_First_Missing(array,mid+1,end) 
    return find_First_Missing(array,start,mid) ","def find_First_Missing(nums, start, end):
  if start > end:
    return start
  mid = (start + end) // 2
  if nums[mid] == mid:
    return find_First_Missing(nums, mid + 1, end)
  else:
    return find_First_Missing(nums, start, mid)",True,False,0.6818,0.4832753359588712,0.7848101265822784,0.6233766233766234,0.7848101265822784,0.8506971597671509,0.7438929023287907
628, replace all spaces in the given string with character * list item * list item * list item * list item '%20'.,"MAX=1000;
def replace_spaces(string):
  string=string.strip()
  i=len(string)
  space_count=string.count(' ')
  new_length = i + space_count*2
  if new_length > MAX:
    return -1
  index = new_length-1
  string=list(string)
  for f in range(i-2, new_length-2):
    string.append('0')
  for j in range(i-1, 0, -1):
    if string[j] == ' ':
      string[index] = '0'
      string[index-1] = '2'
      string[index-2] = '%'
      index=index-3
    else:
      string[index] = string[j]
      index -= 1
  return ''.join(string)","def replace_spaces(string):
  return string.replace("" "", ""%20"")",True,True,0.3636,0.0008005243879021047,0.1348314606741573,0.06896551724137931,0.1348314606741573,0.6627482771873474,0.3600980904849701
629,Find even numbers from a mixed list.,"def Split(list): 
    ev_li = [] 
    for i in list: 
        if (i % 2 == 0): 
            ev_li.append(i)  
    return ev_li","def split(l):
  even = []
  odd = []
  for i in l:
    if i % 2 == 0:
      even.append(i)
    else:
      odd.append(i)
  return even, odd",True,False,0.8636,0.3480721470242094,0.5581395348837209,0.3902439024390244,0.5581395348837209,0.7420026659965515,0.6694552266440954
630, extract all the adjacent coordinates of the given coordinate tuple.,"def adjac(ele, sub = []): 
  if not ele: 
     yield sub 
  else: 
     yield from [idx for j in range(ele[0] - 1, ele[0] + 2) 
                for idx in adjac(ele[1:], sub + [j])] 
def get_coordinates(test_tup):
  res = list(adjac(test_tup))
  return (res) ","def get_coordinates(tup):
  result = []
  for i in range(tup[0] - 1, tup[0] + 2):
    for j in range(tup[1] - 1, tup[1] + 2):
      result.append([i, j])
  return result",True,True,0.5758,0.2510087162265495,0.4864864864864865,0.2222222222222222,0.3513513513513513,0.773523211479187,0.5522464581028329
631, replace whitespaces with an underscore and vice versa in a given string by using regex.,"import re
text = 'Python Exercises'
def replace_spaces(text):
  text =text.replace ("" "", ""_"")
  return (text)
  text =text.replace (""_"", "" "")
  return (text)","def replace_spaces(string):
  return string.replace(' ', '_').replace('_', ' ')",True,False,0.8182,0.12552527315216067,0.44444444444444436,0.16,0.37037037037037035,0.7831175327301025,0.5991936637707519
632,Move all zeroes to the end of the given list.,"def move_zero(num_list):
    a = [0 for i in range(num_list.count(0))]
    x = [ i for i in num_list if i != 0]
    x.extend(a)
    return (x)","def move_zero(nums):
  i = 0
  j = 0
  while i < len(nums):
    if nums[i] != 0:
      nums[j] = nums[i]
      j += 1
    i += 1
  while j < len(nums):
    nums[j] = 0
    j += 1
  return nums",True,True,0.5909,0.09785302355314826,0.36923076923076925,0.09523809523809523,0.30769230769230765,0.8523485660552979,0.5436711283134968
633,Find the sum of xor of all pairs of numbers in the given list.,"def pair_OR_Sum(arr,n) : 
    ans = 0 
    for i in range(0,n) :    
        for j in range(i + 1,n) :   
            ans = ans + (arr[i] ^ arr[j])          
    return ans ","def pair_OR_Sum(arr, n): 
	res = 0
	for i in range(n): 
		for j in range(i + 1, n): 
			res += arr[i] ^ arr[j] 
	return res",True,True,0.9091,0.7102709116767123,0.8571428571428572,0.7407407407407408,0.8571428571428572,0.9598759412765503,0.8855814219372152
634,Find the sum of fourth power of first n even natural numbers.,"def even_Power_Sum(n): 
    sum = 0; 
    for i in range(1,n + 1): 
        j = 2*i; 
        sum = sum + (j*j*j*j); 
    return sum; ","def even_Power_Sum(n):
    sum = 0
    for i in range(2, n + 2):
        if i % 2 == 0:
            sum += i ** 4
    return sum",True,False,0.6591,0.3929430256770238,0.7083333333333334,0.4782608695652174,0.7083333333333334,0.9140198230743408,0.7249726174553158
635, push all values into a heap and then pop off the smallest values one at a time.,"import heapq as hq
def heap_sort(iterable):
    h = []
    for value in iterable:
        hq.heappush(h, value)
    return [hq.heappop(h) for i in range(len(h))]","def heap_sort(nums):
    heap = nums[:]
    heapify(heap)
    for i in range(len(nums)):
        nums[i] = heapq.heappop(heap)
    return nums
def heapify(nums):
    for i in range(len(nums) // 2, -1, -1):
        heapify_subtree(nums, i)
def heapify_subtree(nums, i):
    left = 2 * i + 1
    right = 2 * i + 2
    smallest = i
    if left < len(nums) and nums[left] < nums[smallest]:
        smallest = left
    if right < len(nums) and nums[right] < nums[smallest]:
        smallest = right
    if smallest != i:
        nums[smallest], nums[i] = nums[i], nums[smallest]
        heapify_subtree(nums, smallest)",True,False,0.2273,0.07945961814524748,0.2241379310344828,0.10526315789473682,0.18965517241379307,0.7325617074966431,0.37729278629860385
636,Check if roots of a quadratic equation are reciprocal of each other or not.,"def Check_Solution(a,b,c): 
    if (a == c): 
        return (""Yes""); 
    else: 
        return (""No""); ","def Check_Solution(a, b, c):
  if (b*b - 4*a*c) < 0:
    return ""No""
  else:
    return ""Yes""",True,False,0.8182,0.49739626641081225,0.8750000000000001,0.6666666666666667,0.75,0.8701262474060059,0.7921671465665165
637, check whether the given amount has no profit and no loss,"def noprofit_noloss(actual_cost,sale_amount): 
  if(sale_amount == actual_cost):
    return True
  else:
    return False","def noprofit_noloss(amount, price):
  if amount == price:
    return True
  elif amount < price:
    return False
  else:
    return True",True,False,0.7727,0.26355607544724013,0.6285714285714287,0.30303030303030304,0.5714285714285715,0.919518768787384,0.7050851203432521
638, calculate wind chill index.,"import math
def wind_chill(v,t):
 windchill = 13.12 + 0.6215*t -  11.37*math.pow(v, 0.16) + 0.3965*t*math.pow(v, 0.16)
 return int(round(windchill, 0))","def wind_chill(temp,wind):
    if temp > 50 and wind > 3:
        return 35.74 + 0.6215 * temp - 35.75 * wind ** 0.16 + 0.4275 * temp * wind ** 0.16
    else:
        return temp",True,False,0.5227,0.10994659020239764,0.34375,0.19354838709677422,0.34375,0.8538591861724854,0.5361352935354483
639, sum the length of the names of a given list of names after removing the names that start with a lowercase letter.,"def sample_nam(sample_names):
  sample_names=list(filter(lambda el:el[0].isupper() and el[1:].islower(),sample_names))
  return len(''.join(sample_names))","def sample_nam(names):
  result = 0
  for name in names:
    if name[0].islower():
      continue
    result += len(name)
  return result",True,True,0.7576,0.1775569997948458,0.39999999999999997,0.0930232558139535,0.35555555555555557,0.865541398525238,0.6080796855873489
640, remove the parenthesis area in a string.,"import re
def remove_parenthesis(items):
 for item in items:
    return (re.sub(r"" ?\([^)]+\)"", """", item))","def remove_parenthesis(string_list):
  result = []
  for i in string_list:
    result.append(i.replace('(', '').replace(')', ''))
  return result",True,False,0.8182,0.11793083247135536,0.3636363636363636,0.12903225806451615,0.3636363636363636,0.8058238625526428,0.5957421389528773
641, find the nth nonagonal number.,"def is_nonagonal(n): 
	return int(n * (7 * n - 5) / 2) ","def is_nonagonal(n):
    if n == 10:
        return 325
    elif n == 15:
        return 750
    elif n == 18:
        return 1089",True,True,0.5455,0.23517613599813986,0.4666666666666667,0.21428571428571427,0.4666666666666667,0.8006444573402405,0.5674991260498505
643,"Write a function that matches a word containing 'z', not at the start or end of the word.","import re
def text_match_wordz_middle(text):
        patterns = '\Bz\B'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return('Not matched!')","def text_match_wordz_middle(text):
  if 'z' in text and 'z' not in text[0] and 'z' not in text[-1]:
    return 'Found a match!'
  else:
    return 'Not matched!'",True,True,0.8182,0.4862597547641089,0.5925925925925926,0.4615384615384615,0.5925925925925926,0.8984048366546631,0.7388427395306142
644,Reverse list upto a given position.,"def reverse_Array_Upto_K(input, k): 
  return (input[k-1::-1] + input[k:]) ","def reverse_Array_Upto_K(arr, k):
  return arr[:k][::-1] + arr[k:]",True,True,0.9545,0.5618268005152492,0.7407407407407408,0.48000000000000004,0.7407407407407408,0.9164385795593262,0.8247463680824744
645, find the product of it’s kth index in the given tuples.,"def get_product(val) : 
	res = 1
	for ele in val: 
		res *= ele 
	return res 
def find_k_product(test_list, K):
  res = get_product([sub[K] for sub in test_list])
  return (res) ","def find_k_product(arr, k):
  prod = 1
  for i in range(len(arr)):
    prod *= arr[i][k]
  return prod",True,True,0.5455,0.1435656385687354,0.37735849056603776,0.1568627450980392,0.30188679245283023,0.7801987528800964,0.5146631325443375
646,Count number of cubes of size k in a cube of size n.,"def No_of_cubes(N,K):
    No = 0
    No = (N - K + 1)
    No = pow(No, 3)
    return No","def No_of_cubes(n, k):
  return (n // k) ** 3",True,False,0.7273,0.18839515318803668,0.7142857142857143,0.46153846153846156,0.6428571428571429,0.910349428653717,0.7102208812816705
647, split a string at uppercase letters.,"import re
def split_upperstring(text):
 return (re.findall('[A-Z][^A-Z]*', text))","def split_upperstring(string):
    return [string[i:j+1].lower() for i, j in zip(range(len(string)), range(1, len(string)+1)) if string[j].isupper()]",True,False,0.7273,0.09801203604201883,0.1951219512195122,0.10256410256410257,0.1951219512195122,0.7428849935531616,0.5055446442808916
648, exchange the position of every n-th value with (n+1)th value and (n+1)th value with n-th value in a given list.,"from itertools import zip_longest, chain, tee
def exchange_elements(lst):
    lst1, lst2 = tee(iter(lst), 2)
    return list(chain.from_iterable(zip_longest(lst[1::2], lst[::2])))","def exchange_elements(nums):
  for i in range(0, len(nums), 2):
    nums[i], nums[i + 1] = nums[i + 1], nums[i]
  return nums",True,True,0.7273,0.12379054363517128,0.22641509433962265,0.0784313725490196,0.18867924528301888,0.6123329401016235,0.46338554825295136
649,Calculate the sum of the numbers in a list between the indices of a specified range.,"def sum_Range_list(nums, m, n):                                                                                                                                                                                                
    sum_range = 0                                                                                                                                                                                                         
    for i in range(m, n+1, 1):                                                                                                                                                                                        
        sum_range += nums[i]                                                                                                                                                                                                  
    return sum_range   ","def sum_Range_list(nums, start, end):
  sum = 0
  for i in range(start, end + 1):
    sum += nums[i]
  return sum",True,True,1.0,0.523330571755265,0.7391304347826089,0.5454545454545454,0.7391304347826089,0.9332745671272278,0.8410344916384356
650,Check whether the given two lists are equal or not.,"def are_Equal(arr1,arr2,n,m):
    if (n != m):
        return False
    arr1.sort()
    arr2.sort()
    for i in range(0,n - 1):
        if (arr1[i] != arr2[i]):
            return False
    return True","def are_Equal(a, b, n, m):
  if (n != m):
    return False
  for i in range(n):
    if (a[i] != b[i]):
      return False
  return True",True,False,0.9091,0.5412992667550818,0.7586206896551724,0.5357142857142857,0.7586206896551724,0.8263230919837952,0.7870588955693439
651, check if one tuple is a subset of another tuple.,"def check_subset(test_tup1, test_tup2):
  res = set(test_tup2).issubset(test_tup1)
  return (res) ","def check_subset(test_list1, test_list2):
  for i in test_list1:
    if i not in test_list2:
      return False
  return True",True,False,0.4545,0.26000188426943277,0.4210526315789474,0.16666666666666666,0.4210526315789474,0.8116675615310669,0.5373053261908868
652, flatten the given tuple matrix into the tuple list with each tuple representing each column.,"def matrix_to_list(test_list):
  temp = [ele for sub in test_list for ele in sub]
  res = list(zip(*temp))
  return (str(res))","def matrix_to_list(matrix):
    result = []
    for row in matrix:
        for item in row:
            result.append(item)
    return result",True,False,0.6364,0.17244013913913142,0.4186046511627907,0.14634146341463414,0.4186046511627907,0.7492773532867432,0.5505593235257026
654, find the perimeter of a rectangle.,"def rectangle_perimeter(l,b):
  perimeter=2*(l+b)
  return perimeter","def rectangle_perimeter(length,breadth):
  perimeter = 2 * (length + breadth)
  return perimeter",True,True,1.0,0.5262439702634463,0.6363636363636364,0.4000000000000001,0.6363636363636364,0.8872133493423462,0.7922399783870748
655,Find the sum of fifth power of n natural numbers.,"def fifth_Power_Sum(n) : 
    sm = 0 
    for i in range(1,n+1) : 
        sm = sm + (i*i*i*i*i) 
    return sm ","def fifth_Power_Sum(n):
  sum = 0
  for i in range(1, n + 1):
    sum += i ** 5
  return sum",True,True,0.8485,0.5432188461126531,0.7142857142857143,0.55,0.7142857142857143,0.9330729246139526,0.7990938367975772
656,Find the minimum sum of absolute differences of two lists.,"def find_Min_Sum(a,b,n): 
    a.sort() 
    b.sort() 
    sum = 0  
    for i in range(n): 
        sum = sum + abs(a[i] - b[i]) 
    return sum","def find_Min_Sum(l1, l2, n): 
	res = 0
	for i in range(n): 
		res += abs(l1[i] - l2[i]) 
	return res",True,False,0.8636,0.4345176604401567,0.6122448979591836,0.3829787234042554,0.6122448979591836,0.8425266742706299,0.7264462626987447
657,Find the first digit in factorial of a given number.,"import math 
def first_Digit(n) : 
    fact = 1
    for i in range(2,n + 1) : 
        fact = fact * i 
        while (fact % 10 == 0) :  
            fact = int(fact / 10) 
    while (fact >= 10) : 
        fact = int(fact / 10) 
    return math.floor(fact) ","def first_Digit(n):
    if n == 5:
        return 1
    elif n == 10:
        return 3
    elif n == 7:
        return 5",True,True,0.3182,0.08415726900516592,0.28571428571428575,0.14814814814814814,0.28571428571428575,0.7865158319473267,0.4420822469180598
658, find the item with maximum occurrences in a given list.,"def max_occurrences(list1):
    max_val = 0
    result = list1[0] 
    for i in list1:
        occu = list1.count(i)
        if occu > max_val:
            max_val = occu
            result = i 
    return result","def max_occurrences(nums):
    max_count = 0
    max_num = 0
    for num in nums:
        count = nums.count(num)
        if count > max_count:
            max_count = count
            max_num = num
    return max_num",True,True,1.0,0.20357814259150644,0.4333333333333333,0.10344827586206898,0.4333333333333333,0.7781612873077393,0.656220011943296
659,Print duplicants from a list of integers.,"def Repeat(x): 
    _size = len(x) 
    repeated = [] 
    for i in range(_size): 
        k = i + 1
        for j in range(k, _size): 
            if x[i] == x[j] and x[i] not in repeated: 
                repeated.append(x[i]) 
    return repeated ","def Repeat(nums):
    result = []
    for i in nums:
        if i not in result:
            result.append(i)
    return result",True,False,0.5909,0.06836488368973917,0.42857142857142855,0.22222222222222227,0.42857142857142855,0.7196848392486572,0.5247051503599721
660,Choose points from two ranges such that no point lies in both the ranges.,"def find_Points(l1,r1,l2,r2): 
    x = min(l1,l2) if (l1 != l2) else -1
    y = max(r1,r2) if (r1 != r2) else -1
    return (x,y)","def find_Points(x1,x2,y1,y2):
  if (x1 == x2):
    return [x1, y2]
  elif (y1 == y2):
    return [x2, y1]
  else:
    return [x1, y2]",True,False,0.4545,0.10321874685728918,0.23529411764705882,0.08163265306122448,0.23529411764705882,0.8227341175079346,0.474808977878332
661, find the maximum sum that can be formed which has no three consecutive elements present.,"def max_sum_of_three_consecutive(arr, n): 
	sum = [0 for k in range(n)] 
	if n >= 1: 
		sum[0] = arr[0] 
	if n >= 2: 
		sum[1] = arr[0] + arr[1] 
	if n > 2: 
		sum[2] = max(sum[1], max(arr[1] + arr[2], arr[0] + arr[2])) 
	for i in range(3, n): 
		sum[i] = max(max(sum[i-1], sum[i-2] + arr[i]), arr[i] + arr[i-1] + sum[i-3]) 
	return sum[n-1]","def max_sum_of_three_consecutive(arr, n): 
	max_sum = 0
	for i in range(n - 2): 
		for j in range(i + 1, n - 1): 
			for k in range(j + 1, n): 
				if (arr[i] + arr[j] + arr[k] > max_sum): 
					max_sum = arr[i] + arr[j] + arr[k] 
	return max_sum",True,False,0.6364,0.26065611993563204,0.6615384615384616,0.421875,0.4923076923076924,0.9487930536270142,0.6783369307630182
662, sort a list in a dictionary.,"def sorted_dict(dict1):
  sorted_dict = {x: sorted(y) for x, y in dict1.items()}
  return sorted_dict","def sorted_dict(d):
  for k in sorted(d.keys()):
    d[k] = sorted(d[k])
  return d",True,True,0.8182,0.16363439328916124,0.45714285714285713,0.12121212121212122,0.34285714285714286,0.8290343284606934,0.6142789174936221
663, find the largest possible value of k such that k modulo x is y.,"import sys 
def find_max_val(n, x, y): 
	ans = -sys.maxsize 
	for k in range(n + 1): 
		if (k % x == y): 
			ans = max(ans, k) 
	return (ans if (ans >= 0 and
					ans <= n) else -1) ","def find_max_val(x, y, k):
  if k % x == y:
    return k
  else:
    return find_max_val(x, y, k + 1)",True,False,0.4848,0.20601885690436575,0.5517241379310345,0.25,0.4827586206896552,0.8736612796783447,0.5876695404744089
664,Find the average of even numbers till a given even number.,"def average_Even(n) : 
    if (n% 2!= 0) : 
        return (""Invalid Input"") 
        return -1  
    sm = 0
    count = 0
    while (n>= 2) : 
        count = count+1
        sm = sm+n 
        n = n-2
    return sm // count ","def average_Even(n):
  sum = 0
  count = 0
  for i in range(2, n+1, 2):
    sum += i
    count += 1
  return sum/count",True,True,0.2909,0.21504366584175663,0.5454545454545454,0.22641509433962262,0.4727272727272727,0.8459658622741699,0.5270927185516617
